Row,Tipo,Parola,Significato,Parti del discorso,Disambiguation,Root,Group,Special Note,Participio Passato Irregolare,Aus.,Prep. Before Next Infinitive,Dizionario
593,Alto Uso,attirare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/attirare
594,Alto Uso,attivare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/attivare
595,Fondamentale,attività,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/attivita
596,Fondamentale,attivo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/attivo
597,Fondamentale,atto,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/atto
598,Fondamentale,attore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/attore
599,Fondamentale,attorno,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/attorno
600,Alto Uso,attrarre,,v.tr.,,-trarre,,-rre verb,Irr PP: attratto,,,http://dizionario.internazionale.it/parola/attrarre
601,Fondamentale,attraversare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/attraversare
602,Fondamentale,attraverso,,"prep., avv.",,,,,,,,http://dizionario.internazionale.it/parola/attraverso
603,Alto Uso,attrazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/attrazione
604,Alto Uso,attrezzare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/attrezzare
605,Alto Uso,attrezzatura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/attrezzatura
606,Alto Uso,attrezzo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/attrezzo
607,Alto Uso,attribuire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/attribuire
608,Alto Uso,attrice,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/attrice
609,Fondamentale,attuale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/attuale
610,Alto Uso,attualità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/attualita
611,Alto Uso,attualmente,,avv.,,attuale,,,,,,http://dizionario.internazionale.it/parola/attualmente
612,Alto Uso,attuare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/attuare
613,Alto Uso,augurare,,v.tr. e intr.,,,,,,,di,http://dizionario.internazionale.it/parola/augurare
614,Alto Uso,augurio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/augurio
615,Alto Uso,aula,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/aula
616,Fondamentale,aumentare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/aumentare
617,Fondamentale,aumento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aumento
618,Alta Disponibilità,australiano,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/australiano
619,Alto Uso,austriaco,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/austriaco
620,Alto Uso,autentico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/autentico
621,Alto Uso,autista,1,s.m. e f.,,,,,,,,http://dizionario.internazionale.it/parola/autista
622,Fondamentale,auto,1,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/auto
623,Alta Disponibilità,autoambulanza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/autoambulanza
624,Alta Disponibilità,autobotte,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/autobotte
625,Alto Uso,autobus,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/autobus
626,Alta Disponibilità,autografo,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/autografo
627,Alto Uso,automaticamente,,avv.,,automaticl,,,,,,http://dizionario.internazionale.it/parola/automaticamente
628,Alto Uso,automatico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/automatico
629,Alto Uso,automobile,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/automobile
630,Alta Disponibilità,automobilista,,s.m. e f.,,,,,,,,http://dizionario.internazionale.it/parola/automobilista
631,Alto Uso,autonomia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/autonomia
632,Alto Uso,autonomo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/autonomo
633,Fondamentale,autore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/autore
634,Alta Disponibilità,autorevole,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/autorevole
635,Fondamentale,autorità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/autorita
636,Fondamentale,autorizzare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/autorizzare
637,Alta Disponibilità,autoscontro,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/autoscontro
638,Alta Disponibilità,autoscuola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/autoscuola
639,Alta Disponibilità,autostop,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/autostop
640,Alto Uso,autostrada,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/autostrada
641,Alta Disponibilità,autotreno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/autotreno
642,Alto Uso,autunno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/autunno
643,Alta Disponibilità,avambraccio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avambraccio
644,Alto Uso,avanguardia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/avanguardia
645,Fondamentale,avanti,,"avv., agg.inv., loc. di comando, prep., s.m.inv., s.m. e f.inv.",,,,,,,,http://dizionario.internazionale.it/parola/avanti
646,Fondamentale,avanzare,1,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/avanzare
647,Alto Uso,avanzato,1,"p.pass., agg.",,avanzare,,,,,,http://dizionario.internazionale.it/parola/avanzato
648,Alta Disponibilità,avanzo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avanzo
649,Alta Disponibilità,avarizia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/avarizia
650,Alta Disponibilità,avaro,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/avaro
651,Alta Disponibilità,avena,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/avena
652,Fondamentale,avere,1,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/avere
653,Alta Disponibilità,aviazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/aviazione
654,Alta Disponibilità,avvantaggiare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/avvantaggiare
655,Alto Uso,avvelenare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/avvelenare
656,Alta Disponibilità,avvelenato,,"p.pass., agg.",,avvelenare,,,,,,http://dizionario.internazionale.it/parola/avvelenato
657,Alto Uso,avvenimento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avvenimento
658,Fondamentale,avvenire,1,"agg.inv., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/avvenire
659,Fondamentale,avventura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/avventura
660,Alta Disponibilità,avverare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/avverare
661,Alto Uso,avversario,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avversario
662,Fondamentale,avvertire,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/avvertire
663,Alta Disponibilità,avviamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avviamento
664,Fondamentale,avviare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/avviare
665,Fondamentale,avvicinare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/avvicinare
666,Alto Uso,avvio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avvio
667,Alto Uso,avvisare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/avvisare
668,Alto Uso,avviso,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avviso
669,Alta Disponibilità,avvitare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/avvitare
670,Fondamentale,avvocato,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/avvocato
671,Alto Uso,avvolgere,,v.tr.,,,,,Irr PP: avvolto,,,http://dizionario.internazionale.it/parola/avvolgere
672,Fondamentale,azienda,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/azienda
673,Alto Uso,aziendale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/aziendale
674,Fondamentale,azione,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/azione
675,Alto Uso,azione,2,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/azione_2
676,Alto Uso,azzardare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/azzardare
677,Alta Disponibilità,azzardo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/azzardo
678,Fondamentale,azzurro,,"s.m., agg.",,,,,,,,http://dizionario.internazionale.it/parola/azzurro
679,Alto Uso,babbo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/babbo
680,Alto Uso,baby,,"s.m. e f.inv., agg.inv.",,,,,,,,http://dizionario.internazionale.it/parola/baby
681,Alta Disponibilità,babydoll,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/babydoll
682,Alta Disponibilità,bacca,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bacca
683,Alta Disponibilità,baccalà,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/baccala
684,Alto Uso,bacheca,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bacheca
685,Fondamentale,baciare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/baciare
686,Alta Disponibilità,bacinella,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bacinella
687,Alto Uso,bacino,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bacino
688,Fondamentale,bacio,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bacio
689,Alta Disponibilità,baco,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/baco
690,Alto Uso,badare,,"v.intr., v.tr.",,,,,,,a,http://dizionario.internazionale.it/parola/badare
691,Alto Uso,baffo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/baffo
692,Alta Disponibilità,bagagliaio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bagagliaio
693,Alto Uso,bagaglio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bagaglio
694,Alto Uso,bagnare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/bagnare
695,Alto Uso,bagnato,,"p.pass., agg., s.m.",,bagnare,,,,,,http://dizionario.internazionale.it/parola/bagnato
696,Fondamentale,bagno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bagno
697,Alta Disponibilità,bagnoschiuma,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/bagnoschiuma
698,Alto Uso,balcone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/balcone
699,Alto Uso,balena,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/balena
700,Alto Uso,balia,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/balia
701,Fondamentale,ballare,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/ballare
702,Alta Disponibilità,ballerina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/ballerina
703,Alta Disponibilità,ballerino,,"s.m., agg.",,,,,,,,http://dizionario.internazionale.it/parola/ballerino
704,Alta Disponibilità,balletto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/balletto
705,Alto Uso,ballo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/ballo
706,Alta Disponibilità,balsamo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/balsamo
707,Fondamentale,bambina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bambina
708,Alta Disponibilità,bambinaia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bambinaia
709,Fondamentale,bambino,,"s.m., agg.",,,,,,,,http://dizionario.internazionale.it/parola/bambino
710,Alto Uso,bambola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bambola
711,Alto Uso,banale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/banale
712,Alta Disponibilità,banana,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/banana
713,Fondamentale,banca,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/banca
714,Alta Disponibilità,bancarella,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bancarella
715,Alto Uso,bancario,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/bancario
716,Alto Uso,banco,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/banco
717,Alto Uso,bancone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bancone
718,Alto Uso,band,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/band
719,Alto Uso,banda,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/banda
720,Alto Uso,bandiera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bandiera
721,Alto Uso,bando,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bando
722,Fondamentale,bar,1,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/bar
723,Alto Uso,bara,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bara
724,Alta Disponibilità,baracca,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/baracca
725,Alto Uso,barba,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/barba
726,Alta Disponibilità,barbabietola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/barbabietola
727,Alto Uso,barbaro,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/barbaro
728,Fondamentale,barca,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/barca
729,Alta Disponibilità,barella,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/barella
730,Alta Disponibilità,barese,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/barese
731,Alta Disponibilità,barile,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/barile
732,Alta Disponibilità,barista,,s.m. e f.,,,,,,,,http://dizionario.internazionale.it/parola/barista
733,Alto Uso,barriera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/barriera
734,Fondamentale,basare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/basare
735,Fondamentale,base,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/base
736,Alta Disponibilità,basetta,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/basetta
737,Alto Uso,basilica,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/basilica
738,Alta Disponibilità,basilico,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/basilico
739,Alta Disponibilità,basket,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/basket
740,Fondamentale,basso,,"agg., s.m., avv.",,,,,,,,http://dizionario.internazionale.it/parola/basso
741,Alto Uso,bastardo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/bastardo
742,Fondamentale,bastare,,v.intr.,,,,,,Essere,a,http://dizionario.internazionale.it/parola/bastare
743,Alta Disponibilità,bastonare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/bastonare
744,Alto Uso,bastone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bastone
745,Fondamentale,battaglia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/battaglia
746,Alta Disponibilità,battello,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/battello
747,Fondamentale,battere,,"v.tr. e intr., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/battere
748,Alto Uso,batteria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/batteria
749,Alto Uso,batterio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/batterio
750,Alta Disponibilità,batticuore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/batticuore
751,Alta Disponibilità,battipanni,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/battipanni
752,Alta Disponibilità,battito,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/battito
753,Fondamentale,battuta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/battuta
754,Alta Disponibilità,batuffolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/batuffolo
755,Alta Disponibilità,baule,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/baule
756,Alta Disponibilità,bava,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bava
757,Alta Disponibilità,bavaglio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bavaglio
758,Alto Uso,beato,,"p.pass., agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/beato
759,Alto Uso,beccare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/beccare
760,Alta Disponibilità,befana,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/befana
761,Alta Disponibilità,beffa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/beffa
762,Fondamentale,beh,,inter.,,,,,,,,http://dizionario.internazionale.it/parola/beh
763,Alta Disponibilità,belare,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/belare
764,Alta Disponibilità,belga,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/belga
765,Alto Uso,bella,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bella
766,Fondamentale,bellezza,,s.f.,,bello,,,,,,http://dizionario.internazionale.it/parola/bellezza
767,Fondamentale,bello,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/bello
768,Alto Uso,benché,,cong.,,,,,,,,http://dizionario.internazionale.it/parola/benche
769,Alta Disponibilità,benda,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/benda
770,Fondamentale,bene,1,"avv., inter.",,,,,,,,http://dizionario.internazionale.it/parola/bene
771,Fondamentale,bene,2,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bene_2
772,Alto Uso,benedetto,,"p.pass., agg., s.m.",,benedire,,,,,,http://dizionario.internazionale.it/parola/benedetto
773,Alta Disponibilità,beneficenza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/beneficenza
774,Alto Uso,beneficio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/beneficio
775,Alto Uso,benessere,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/benessere
776,Alta Disponibilità,benestante,,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/benestante
777,Alto Uso,bensì,,"cong., avv.",,,,,,,,http://dizionario.internazionale.it/parola/bensi
778,Alto Uso,benvenuto,,"agg., s.m.inv., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/benvenuto
779,Alto Uso,benzina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/benzina
780,Alta Disponibilità,benzinaio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/benzinaio
781,Fondamentale,bere,,"v.tr., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/bere
782,Alta Disponibilità,berlinese,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/berlinese
783,Alta Disponibilità,berretto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/berretto
784,Alto Uso,bersaglio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bersaglio
785,Alta Disponibilità,besciamella,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/besciamella
786,Alta Disponibilità,bestemmia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bestemmia
787,Alto Uso,bestia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bestia
788,Alta Disponibilità,bestiale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/bestiale
789,Alto Uso,bevanda,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bevanda
790,Alta Disponibilità,bevitore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bevitore
791,Alta Disponibilità,bevuta,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bevuta
792,Alta Disponibilità,bi,,s.f. e m.inv.,,,Letters of the Alphabet,,,,,http://dizionario.internazionale.it/parola/bi
793,Fondamentale,bianco,,"agg., s.m.",,,Colors,,,,,http://dizionario.internazionale.it/parola/bianco
794,Alto Uso,bibbia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bibbia
795,Alta Disponibilità,bibita,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bibita
796,Alto Uso,biblico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/biblico
797,Alto Uso,bibliografia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bibliografia
798,Alto Uso,biblioteca,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/biblioteca
799,Fondamentale,bicchiere,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bicchiere
800,Alto Uso,bici,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/bici
801,Alto Uso,bicicletta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bicicletta
802,Alta Disponibilità,bidè,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/bidè
803,Alta Disponibilità,bidello,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bidello
804,Alta Disponibilità,biglia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/biglia
805,Alta Disponibilità,biglietteria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/biglietteria
806,Fondamentale,biglietto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/biglietto
807,Alta Disponibilità,bikini,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/bikini
808,Alto Uso,bilancia,,"s.f., s.f.inv.",,,,,,,,http://dizionario.internazionale.it/parola/bilancia
809,Alto Uso,bilancio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bilancio
810,Alta Disponibilità,biliardo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/biliardo
811,Alto Uso,bimba,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bimba
812,Alto Uso,bimbo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bimbo
813,Alta Disponibilità,binario,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/binario
814,Alto Uso,biografia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/biografia
815,Alto Uso,biologia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/biologia
816,Alto Uso,biologico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/biologico
817,Alto Uso,bionda,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bionda
818,Alto Uso,biondo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/biondo
819,Alta Disponibilità,birichino,,"s.m., agg.",,,,,,,,http://dizionario.internazionale.it/parola/birichino
820,Alta Disponibilità,birillo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/birillo
821,Alto Uso,birra,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/birra
822,Alta Disponibilità,bisbigliare,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/bisbigliare
823,Alta Disponibilità,biscia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/biscia
824,Alto Uso,biscotto,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/biscotto
825,Alta Disponibilità,bisnonno,,s.m.,,,Family,,,,,http://dizionario.internazionale.it/parola/bisnonno
826,Fondamentale,bisognare,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/bisognare
827,Fondamentale,bisogno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bisogno
828,Alta Disponibilità,bistecca,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bistecca
829,Alta Disponibilità,bistecchiera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bistecchiera
830,Alta Disponibilità,bisticciare,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/bisticciare
831,Alto Uso,bit,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/bit
832,Alto Uso,bizzarro,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/bizzarro
833,Fondamentale,bloccare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/bloccare
834,Alto Uso,blocco,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/blocco
835,Alto Uso,blocco,2,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/blocco_2
836,Fondamentale,blog,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/blog
837,Fondamentale,blu,,"agg.inv., s.m.inv.",,,Colors,,,,,http://dizionario.internazionale.it/parola/blu
838,Fondamentale,bocca,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bocca
839,Alta Disponibilità,bocchino,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bocchino
840,Alta Disponibilità,boccia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/boccia
841,Alto Uso,bocciare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/bocciare
842,Alta Disponibilità,bocciatura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bocciatura
843,Alta Disponibilità,bocciolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bocciolo
844,Alta Disponibilità,boccone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/boccone
845,Alto Uso,boh,,inter.,,,,,,,,http://dizionario.internazionale.it/parola/boh
846,Alta Disponibilità,boia,,"s.m.inv., agg.inv.",,,,,,,,http://dizionario.internazionale.it/parola/boia
847,Alto Uso,bolla,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bolla
848,Alto Uso,bolletta,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bolletta
849,Alta Disponibilità,bollito,,"p.pass., agg., s.m.",,bollire,,,,,,http://dizionario.internazionale.it/parola/bollito
850,Alta Disponibilità,bollitore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bollitore
851,Alta Disponibilità,bollo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bollo
852,Alta Disponibilità,bolognese,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/bolognese
853,Alta Disponibilità,bolzanino,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/bolzanino
854,Alto Uso,bomba,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bomba
855,Alto Uso,bombardare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/bombardare
856,Alta Disponibilità,bombola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bombola
857,Alta Disponibilità,bomboniera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/bomboniera
858,Alto Uso,bontà,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/bonta
859,Fondamentale,bordo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/bordo
860,Alta Disponibilità,borgata,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/borgata
861,Alto Uso,borghese,1,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/borghese
862,Alta Disponibilità,borghesia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/borghesia
863,Alto Uso,borgo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/borgo
864,Alta Disponibilità,borotalco,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/borotalco
