Italian,Korean,Gender,Example_IT,Example_KR
se,~인지 아닌지/만약,-,L'italiano è se.,이탈리아어는 ~인지 아닌지/만약입니다.
spettacolare,멋진/장관인,-,Mi piace spettacolare quando ho tempo libero.,나는 자유 시간이 있을 때 멋진/장관인는 것을 좋아합니다.
tropicale,열대의,-,L'italiano è tropicale.,이탈리아어는 열대의입니다.
vetrina,진열장,f,La vetrina è bellissima in questo periodo.,그 vetrina(은/는) 이 시기에 매우 아름답습니다.
sconto,할인,m,Il sconto è molto importante per noi.,그 sconto(은/는) 우리에게 매우 중요합니다.
prezzo,가격,m,Il prezzo è molto importante per noi.,그 prezzo(은/는) 우리에게 매우 중요합니다.
per ora,지금은,f,La per ora è bellissima in questo periodo.,그 per ora(은/는) 이 시기에 매우 아름답습니다.
di fretta,서두르는,f,La di fretta è bellissima in questo periodo.,그 di fretta(은/는) 이 시기에 매우 아름답습니다.
possibile,가능한,-,L'italiano è possibile.,이탈리아어는 가능한입니다.
fuori da,~밖에,f,La fuori da è bellissima in questo periodo.,그 fuori da(은/는) 이 시기에 매우 아름답습니다.
accontentarsi,만족하다,-,L'italiano è accontentarsi.,이탈리아어는 만족하다입니다.
appuntamento,약속,m,Il appuntamento è molto importante per noi.,그 appuntamento(은/는) 우리에게 매우 중요합니다.
budget,예산,-,L'italiano è budget.,이탈리아어는 예산입니다.
rinunciare,포기하다/단념하다,-,Mi piace rinunciare quando ho tempo libero.,나는 자유 시간이 있을 때 포기하다/단념하다는 것을 좋아합니다.
poco,적은,m,Il poco è molto importante per noi.,그 poco(은/는) 우리에게 매우 중요합니다.
alquanto,어느 정도,m,Il alquanto è molto importante per noi.,그 alquanto(은/는) 우리에게 매우 중요합니다.
altrettanto,같은 양의,m,Il altrettanto è molto importante per noi.,그 altrettanto(은/는) 우리에게 매우 중요합니다.
molto,많은,m,Il molto è molto importante per noi.,그 molto(은/는) 우리에게 매우 중요합니다.
alcuno,몇몇의,m,Il alcuno è molto importante per noi.,그 alcuno(은/는) 우리에게 매우 중요합니다.
ogni,각각의/모든,-,L'italiano è ogni.,이탈리아어는 각각의/모든입니다.
vario,다양한,m,Il vario è molto importante per noi.,그 vario(은/는) 우리에게 매우 중요합니다.
qualunque,어떤 ~라도,-,L'italiano è qualunque.,이탈리아어는 어떤 ~라도입니다.
qualche,몇몇의,-,L'italiano è qualche.,이탈리아어는 몇몇의입니다.
diverso,여러 가지의/다른,m,Il diverso è molto importante per noi.,그 diverso(은/는) 우리에게 매우 중요합니다.
troppo,너무 많은,m,Il troppo è molto importante per noi.,그 troppo(은/는) 우리에게 매우 중요합니다.
ciascuno,각자의,m,Il ciascuno è molto importante per noi.,그 ciascuno(은/는) 우리에게 매우 중요합니다.
parecchio,꽤 많은/여러 개의,m,Il parecchio è molto importante per noi.,그 parecchio(은/는) 우리에게 매우 중요합니다.
tutto,모든,m,Il tutto è molto importante per noi.,그 tutto(은/는) 우리에게 매우 중요합니다.
certo,어느 정도의/확실한,m,Il certo è molto importante per noi.,그 certo(은/는) 우리에게 매우 중요합니다.
tanto,많은,m,Il tanto è molto importante per noi.,그 tanto(은/는) 우리에게 매우 중요합니다.
nessuno,아무도/어떠한 ~도 없는,m,Il nessuno è molto importante per noi.,그 nessuno(은/는) 우리에게 매우 중요합니다.
qualsiasi,어떤 ~든지,-,L'italiano è qualsiasi.,이탈리아어는 어떤 ~든지입니다.
nuovo,새로운,m,Il nuovo è molto importante per noi.,그 nuovo(은/는) 우리에게 매우 중요합니다.
sconto,할인,m,Il sconto è molto importante per noi.,그 sconto(은/는) 우리에게 매우 중요합니다.
fantastico,멋진/환상적인,m,Il fantastico è molto importante per noi.,그 fantastico(은/는) 우리에게 매우 중요합니다.
centro commerciale,쇼핑센터,-,L'italiano è centro commerciale.,이탈리아어는 쇼핑센터입니다.
interessante,흥미로운,-,L'italiano è interessante.,이탈리아어는 흥미로운입니다.
perdere,잃어버리다/놓치다,-,Mi piace perdere quando ho tempo libero.,나는 자유 시간이 있을 때 잃어버리다/놓치다는 것을 좋아합니다.
internazionale,국제적인,-,L'italiano è internazionale.,이탈리아어는 국제적인입니다.
regalo,선물,m,Il regalo è molto importante per noi.,그 regalo(은/는) 우리에게 매우 중요합니다.
offerta,할인/제안,f,La offerta è bellissima in questo periodo.,그 offerta(은/는) 이 시기에 매우 아름답습니다.
occhiata,한번 봄/눈길,f,La occhiata è bellissima in questo periodo.,그 occhiata(은/는) 이 시기에 매우 아름답습니다.
acquistare,구매하다,-,Mi piace acquistare quando ho tempo libero.,나는 자유 시간이 있을 때 구매하다는 것을 좋아합니다.
primo,첫 번째의,m,Il primo è molto importante per noi.,그 primo(은/는) 우리에게 매우 중요합니다.
speciale,특별한,-,L'italiano è speciale.,이탈리아어는 특별한입니다.
ristorante,레스토랑,m,Il ristorante è molto importante per noi.,그 ristorante(은/는) 우리에게 매우 중요합니다.
prodotti alimentari,식품,-,L'italiano è prodotti alimentari.,이탈리아어는 식품입니다.
visitatore,방문객,m,Il visitatore è molto importante per noi.,그 visitatore(은/는) 우리에게 매우 중요합니다.
apertura,개업/열림,f,La apertura è bellissima in questo periodo.,그 apertura(은/는) 이 시기에 매우 아름답습니다.
perfetto,완벽한,m,Il perfetto è molto importante per noi.,그 perfetto(은/는) 우리에게 매우 중요합니다.
esatto,정확한,m,Il esatto è molto importante per noi.,그 esatto(은/는) 우리에게 매우 중요합니다.
occasione,기회,f,La occasione è bellissima in questo periodo.,그 occasione(은/는) 이 시기에 매우 아름답습니다.
quartiere,구역/지역,-,Mi piace quartiere quando ho tempo libero.,나는 자유 시간이 있을 때 구역/지역는 것을 좋아합니다.
facilmente,쉽게,-,L'italiano è facilmente.,이탈리아어는 쉽게입니다.
persino,심지어,m,Il persino è molto importante per noi.,그 persino(은/는) 우리에게 매우 중요합니다.
novità,새로움/소식,-,L'italiano è novità.,이탈리아어는 새로움/소식입니다.
evento,행사,m,Il evento è molto importante per noi.,그 evento(은/는) 우리에게 매우 중요합니다.
accedere,접속하다/접근하다,-,Mi piace accedere quando ho tempo libero.,나는 자유 시간이 있을 때 접속하다/접근하다는 것을 좋아합니다.
interno,내부,m,Il interno è molto importante per noi.,그 interno(은/는) 우리에게 매우 중요합니다.
apprezzare,가치를 인정하다/감사하다,-,Mi piace apprezzare quando ho tempo libero.,나는 자유 시간이 있을 때 가치를 인정하다/감사하다는 것을 좋아합니다.
culturale,문화의,-,L'italiano è culturale.,이탈리아어는 문화의입니다.
gratuitamente,무료로,-,L'italiano è gratuitamente.,이탈리아어는 무료로입니다.
diverso,다양한,m,Il diverso è molto importante per noi.,그 diverso(은/는) 우리에게 매우 중요합니다.
comunità,공동체,-,L'italiano è comunità.,이탈리아어는 공동체입니다.
punto,점/지점,m,Il punto è molto importante per noi.,그 punto(은/는) 우리에게 매우 중요합니다.
utile,유용한,-,L'italiano è utile.,이탈리아어는 유용한입니다.
organizzare,기획하다/준비하다,-,Mi piace organizzare quando ho tempo libero.,나는 자유 시간이 있을 때 기획하다/준비하다는 것을 좋아합니다.
utilizzare,사용하다,-,Mi piace utilizzare quando ho tempo libero.,나는 자유 시간이 있을 때 사용하다는 것을 좋아합니다.
riferimento,참조/기준,m,Il riferimento è molto importante per noi.,그 riferimento(은/는) 우리에게 매우 중요합니다.
tenere,열다/개최하다/유지하다,-,Mi piace tenere quando ho tempo libero.,나는 자유 시간이 있을 때 열다/개최하다/유지하다는 것을 좋아합니다.
ordinato,정돈된,m,Il ordinato è molto importante per noi.,그 ordinato(은/는) 우리에게 매우 중요합니다.
residente,거주자,-,L'italiano è residente.,이탈리아어는 거주자입니다.
esigenza,필요/요구,f,La esigenza è bellissima in questo periodo.,그 esigenza(은/는) 이 시기에 매우 아름답습니다.
primo,첫 번째의,m,Il primo è molto importante per noi.,그 primo(은/는) 우리에게 매우 중요합니다.
secondo,두 번째의,m,Il secondo è molto importante per noi.,그 secondo(은/는) 우리에게 매우 중요합니다.
terzo,세 번째의,m,Il terzo è molto importante per noi.,그 terzo(은/는) 우리에게 매우 중요합니다.
quarto,네 번째의,m,Il quarto è molto importante per noi.,그 quarto(은/는) 우리에게 매우 중요합니다.
quinto,다섯 번째의,m,Il quinto è molto importante per noi.,그 quinto(은/는) 우리에게 매우 중요합니다.
sesto,여섯 번째의,m,Il sesto è molto importante per noi.,그 sesto(은/는) 우리에게 매우 중요합니다.
settimo,일곱 번째의,m,Il settimo è molto importante per noi.,그 settimo(은/는) 우리에게 매우 중요합니다.
ottavo,여덟 번째의,m,Il ottavo è molto importante per noi.,그 ottavo(은/는) 우리에게 매우 중요합니다.
nonno,아홉 번째의,m,Il nonno è molto importante per noi.,그 nonno(은/는) 우리에게 매우 중요합니다.
decimo,열 번째의,m,Il decimo è molto importante per noi.,그 decimo(은/는) 우리에게 매우 중요합니다.
ventesimo,스무 번째의,m,Il ventesimo è molto importante per noi.,그 ventesimo(은/는) 우리에게 매우 중요합니다.
sentire,듣다/느끼다,-,Mi piace sentire quando ho tempo libero.,나는 자유 시간이 있을 때 듣다/느끼다는 것을 좋아합니다.
fine,끝/목적,-,L'italiano è fine.,이탈리아어는 끝/목적입니다.
conferma,확인,f,La conferma è bellissima in questo periodo.,그 conferma(은/는) 이 시기에 매우 아름답습니다.
ultimo,최근의/마지막의,m,Il ultimo è molto importante per noi.,그 ultimo(은/는) 우리에게 매우 중요합니다.
ufficiale,공식적인,-,L'italiano è ufficiale.,이탈리아어는 공식적인입니다.
notizia,소식/뉴스,f,La notizia è bellissima in questo periodo.,그 notizia(은/는) 이 시기에 매우 아름답습니다.
consiglio,조언/이사회,m,Il consiglio è molto importante per noi.,그 consiglio(은/는) 우리에게 매우 중요합니다.
temere,~일까 두렵다,-,Mi piace temere quando ho tempo libero.,나는 자유 시간이 있을 때 ~일까 두렵다는 것을 좋아합니다.
sembrare,~인 것 같다,-,Mi piace sembrare quando ho tempo libero.,나는 자유 시간이 있을 때 ~인 것 같다는 것을 좋아합니다.
amministrazione,관리/행정,f,La amministrazione è bellissima in questo periodo.,그 amministrazione(은/는) 이 시기에 매우 아름답습니다.
accordo,합의/동의,m,Il accordo è molto importante per noi.,그 accordo(은/는) 우리에게 매우 중요합니다.
presidente,회장/사장/대통령,-,L'italiano è presidente.,이탈리아어는 회장/사장/대통령입니다.
parere,~인 것 같다,-,Mi piace parere quando ho tempo libero.,나는 자유 시간이 있을 때 ~인 것 같다는 것을 좋아합니다.
fondato,근거 있는,m,Il fondato è molto importante per noi.,그 fondato(은/는) 우리에게 매우 중요합니다.
istituto,기관/단체,m,Il istituto è molto importante per noi.,그 istituto(은/는) 우리에게 매우 중요합니다.
strano,이상한,m,Il strano è molto importante per noi.,그 strano(은/는) 우리에게 매우 중요합니다.
sperare,바라다/희망하다,-,Mi piace sperare quando ho tempo libero.,나는 자유 시간이 있을 때 바라다/희망하다는 것을 좋아합니다.
subito,즉시,m,Il subito è molto importante per noi.,그 subito(은/는) 우리에게 매우 중요합니다.
lasciare,그만두다/떠나다,-,Mi piace lasciare quando ho tempo libero.,나는 자유 시간이 있을 때 그만두다/떠나다는 것을 좋아합니다.
salute,건강,-,L'italiano è salute.,이탈리아어는 건강입니다.
campagna,시골/외곽,f,La campagna è bellissima in questo periodo.,그 campagna(은/는) 이 시기에 매우 아름답습니다.
preoccuparsi,걱정하다,-,L'italiano è preoccuparsi.,이탈리아어는 걱정하다입니다.
sposarsi,결혼하다,-,L'italiano è sposarsi.,이탈리아어는 결혼하다입니다.
grande,큰/대단한,-,L'italiano è grande.,이탈리아어는 큰/대단한입니다.
innamorarsi,사랑에 빠지다,-,L'italiano è innamorarsi.,이탈리아어는 사랑에 빠지다입니다.
moglie,아내,-,L'italiano è moglie.,이탈리아어는 아내입니다.
sapere,알다,-,Mi piace sapere quando ho tempo libero.,나는 자유 시간이 있을 때 알다는 것을 좋아합니다.
valere,가치가 있다,-,Mi piace valere quando ho tempo libero.,나는 자유 시간이 있을 때 가치가 있다는 것을 좋아합니다.
organizzare,계획하다,-,Mi piace organizzare quando ho tempo libero.,나는 자유 시간이 있을 때 계획하다는 것을 좋아합니다.
vita,인생/생계,f,La vita è bellissima in questo periodo.,그 vita(은/는) 이 시기에 매우 아름답습니다.
darsi da fare,열심히 살다,-,Mi piace darsi da fare quando ho tempo libero.,나는 자유 시간이 있을 때 열심히 살다는 것을 좋아합니다.
cena,저녁 식사,f,La cena è bellissima in questo periodo.,그 cena(은/는) 이 시기에 매우 아름답습니다.
figlia,딸,f,La figlia è bellissima in questo periodo.,그 figlia(은/는) 이 시기에 매우 아름답습니다.
fraintendere,잘못 이해하다,-,Mi piace fraintendere quando ho tempo libero.,나는 자유 시간이 있을 때 잘못 이해하다는 것을 좋아합니다.
stesso,동일한,m,Il stesso è molto importante per noi.,그 stesso(은/는) 우리에게 매우 중요합니다.
piuttosto,차라리/약간,m,Il piuttosto è molto importante per noi.,그 piuttosto(은/는) 우리에게 매우 중요합니다.
ultimamente,최근에,-,L'italiano è ultimamente.,이탈리아어는 최근에입니다.
sbagliare,실수하다,-,Mi piace sbagliare quando ho tempo libero.,나는 자유 시간이 있을 때 실수하다는 것을 좋아합니다.
il fine,목적,-,L'italiano è il fine.,이탈리아어는 목적입니다.
la fine,끝,-,L'italiano è la fine.,이탈리아어는 끝입니다.
il fonte,세례반,-,L'italiano è il fonte.,이탈리아어는 세례반입니다.
la fonte,샘/원천,-,L'italiano è la fonte.,이탈리아어는 샘/원천입니다.
il radio,라듐,m,Il il radio è molto importante per noi.,그 il radio(은/는) 우리에게 매우 중요합니다.
la radio,라디오,m,Il la radio è molto importante per noi.,그 la radio(은/는) 우리에게 매우 중요합니다.
il caso,경우,m,Il il caso è molto importante per noi.,그 il caso(은/는) 우리에게 매우 중요합니다.
la casa,집,f,La la casa è bellissima in questo periodo.,그 la casa(은/는) 이 시기에 매우 아름답습니다.
il torto,잘못,m,Il il torto è molto importante per noi.,그 il torto(은/는) 우리에게 매우 중요합니다.
la torta,케이크,f,La la torta è bellissima in questo periodo.,그 la torta(은/는) 이 시기에 매우 아름답습니다.
il capitale,자본,-,L'italiano è il capitale.,이탈리아어는 자본입니다.
la capitale,수도,-,L'italiano è la capitale.,이탈리아어는 수도입니다.
il banco,벤치,m,Il il banco è molto importante per noi.,그 il banco(은/는) 우리에게 매우 중요합니다.
la banca,은행,f,La la banca è bellissima in questo periodo.,그 la banca(은/는) 이 시기에 매우 아름답습니다.
il suolo,토지/지표,m,Il il suolo è molto importante per noi.,그 il suolo(은/는) 우리에게 매우 중요합니다.
la suola,신발 밑창,f,La la suola è bellissima in questo periodo.,그 la suola(은/는) 이 시기에 매우 아름답습니다.
insieme,함께,-,L'italiano è insieme.,이탈리아어는 함께입니다.
frequentare,다니다,-,Mi piace frequentare quando ho tempo libero.,나는 자유 시간이 있을 때 다니다는 것을 좋아합니다.
provare,시도하다,-,Mi piace provare quando ho tempo libero.,나는 자유 시간이 있을 때 시도하다는 것을 좋아합니다.
contattare,연락하다,-,Mi piace contattare quando ho tempo libero.,나는 자유 시간이 있을 때 연락하다는 것을 좋아합니다.
orale,구두의,-,L'italiano è orale.,이탈리아어는 구두의입니다.
vergognarsi,부끄러워하다,-,L'italiano è vergognarsi.,이탈리아어는 부끄러워하다입니다.
semestre,학기,-,L'italiano è semestre.,이탈리아어는 학기입니다.
preparare,준비하다,-,Mi piace preparare quando ho tempo libero.,나는 자유 시간이 있을 때 준비하다는 것을 좋아합니다.
siccome,~이기 때문에,-,L'italiano è siccome.,이탈리아어는 ~이기 때문에입니다.
superare,통과하다,-,Mi piace superare quando ho tempo libero.,나는 자유 시간이 있을 때 통과하다는 것을 좋아합니다.
ottimo,최고의,m,Il ottimo è molto importante per noi.,그 ottimo(은/는) 우리에게 매우 중요합니다.
seguire,따르다/수강하다,-,Mi piace seguire quando ho tempo libero.,나는 자유 시간이 있을 때 따르다/수강하다는 것을 좋아합니다.
accademico,학술의/대학의,m,Il accademico è molto importante per noi.,그 accademico(은/는) 우리에게 매우 중요합니다.
periodo,기간,m,Il periodo è molto importante per noi.,그 periodo(은/는) 우리에게 매우 중요합니다.
litigare,말다툼하다,-,Mi piace litigare quando ho tempo libero.,나는 자유 시간이 있을 때 말다툼하다는 것을 좋아합니다.
progetto,프로젝트/계획,m,Il progetto è molto importante per noi.,그 progetto(은/는) 우리에게 매우 중요합니다.
migliore,더 좋은,m,Il migliore è molto importante per noi.,그 migliore(은/는) 우리에게 매우 중요합니다.
duro,힘든/단단한,m,Il duro è molto importante per noi.,그 duro(은/는) 우리에게 매우 중요합니다.
offrire,제공하다,-,Mi piace offrire quando ho tempo libero.,나는 자유 시간이 있을 때 제공하다는 것을 좋아합니다.
disoccupazione,실업,f,La disoccupazione è bellissima in questo periodo.,그 disoccupazione(은/는) 이 시기에 매우 아름답습니다.
preoccupazioni,걱정들,-,L'italiano è preoccupazioni.,이탈리아어는 걱정들입니다.
pazienza,인내/참을성,f,La pazienza è bellissima in questo periodo.,그 pazienza(은/는) 이 시기에 매우 아름답습니다.
normale,정상적인/보통의,-,L'italiano è normale.,이탈리아어는 정상적인/보통의입니다.
accadere,발생하다,-,Mi piace accadere quando ho tempo libero.,나는 자유 시간이 있을 때 발생하다는 것을 좋아합니다.
suggerire,제안하다,-,Mi piace suggerire quando ho tempo libero.,나는 자유 시간이 있을 때 제안하다는 것을 좋아합니다.
riflettere,성찰하다/반영하다,-,Mi piace riflettere quando ho tempo libero.,나는 자유 시간이 있을 때 성찰하다/반영하다는 것을 좋아합니다.
possibilità,가능성,-,L'italiano è possibilità.,이탈리아어는 가능성입니다.
sopportare,참다/견디다,-,Mi piace sopportare quando ho tempo libero.,나는 자유 시간이 있을 때 참다/견디다는 것을 좋아합니다.
affrontare,직면하다,-,Mi piace affrontare quando ho tempo libero.,나는 자유 시간이 있을 때 직면하다는 것을 좋아합니다.
sufficiente,충분한,-,L'italiano è sufficiente.,이탈리아어는 충분한입니다.
stressarsi,스트레스 받다,-,L'italiano è stressarsi.,이탈리아어는 스트레스 받다입니다.
il frutto,열매,m,Il il frutto è molto importante per noi.,그 il frutto(은/는) 우리에게 매우 중요합니다.
la frutta,과일 전체,f,La la frutta è bellissima in questo periodo.,그 la frutta(은/는) 이 시기에 매우 아름답습니다.
il pero,배나무,m,Il il pero è molto importante per noi.,그 il pero(은/는) 우리에게 매우 중요합니다.
la pera,배,f,La la pera è bellissima in questo periodo.,그 la pera(은/는) 이 시기에 매우 아름답습니다.
il melo,사과나무,m,Il il melo è molto importante per noi.,그 il melo(은/는) 우리에게 매우 중요합니다.
la mela,사과,f,La la mela è bellissima in questo periodo.,그 la mela(은/는) 이 시기에 매우 아름답습니다.
il punto,점,m,Il il punto è molto importante per noi.,그 il punto(은/는) 우리에게 매우 중요합니다.
la punta,끝/말단,f,La la punta è bellissima in questo periodo.,그 la punta(은/는) 이 시기에 매우 아름답습니다.
il pizzo,끈/수염,m,Il il pizzo è molto importante per noi.,그 il pizzo(은/는) 우리에게 매우 중요합니다.
la pizza,피자,f,La la pizza è bellissima in questo periodo.,그 la pizza(은/는) 이 시기에 매우 아름답습니다.
il soffitto,천장,m,Il il soffitto è molto importante per noi.,그 il soffitto(은/는) 우리에게 매우 중요합니다.
la soffitta,다락방,f,La la soffitta è bellissima in questo periodo.,그 la soffitta(은/는) 이 시기에 매우 아름답습니다.
il busto,상반신,m,Il il busto è molto importante per noi.,그 il busto(은/는) 우리에게 매우 중요합니다.
la busta,봉투,f,La la busta è bellissima in questo periodo.,그 la busta(은/는) 이 시기에 매우 아름답습니다.
il velo,베일,m,Il il velo è molto importante per noi.,그 il velo(은/는) 우리에게 매우 중요합니다.
la vela,돛,f,La la vela è bellissima in questo periodo.,그 la vela(은/는) 이 시기에 매우 아름답습니다.
vacanza,휴가,f,La vacanza è bellissima in questo periodo.,그 vacanza(은/는) 이 시기에 매우 아름답습니다.
lista,목록,f,La lista è bellissima in questo periodo.,그 lista(은/는) 이 시기에 매우 아름답습니다.
in anticipo,미리/일찍,m,Il in anticipo è molto importante per noi.,그 in anticipo(은/는) 우리에게 매우 중요합니다.
pensare,생각하다,-,Penso che sia un'ottima idea.,아주 좋은 생각이라고 생각해요.
organizzare,계획하다,-,Mi piace organizzare quando ho tempo libero.,나는 자유 시간이 있을 때 계획하다는 것을 좋아합니다.
suonare,울리다/연주하다,-,Mi piace suonare quando ho tempo libero.,나는 자유 시간이 있을 때 울리다/연주하다는 것을 좋아합니다.
momento,순간,m,Il momento è molto importante per noi.,그 momento(은/는) 우리에게 매우 중요합니다.
mente,마음/정신,-,L'italiano è mente.,이탈리아어는 마음/정신입니다.
decidere,결정하다,-,Mi piace decidere quando ho tempo libero.,나는 자유 시간이 있을 때 결정하다는 것을 좋아합니다.
destinazione,목적지,f,La destinazione è bellissima in questo periodo.,그 destinazione(은/는) 이 시기에 매우 아름답습니다.
visitare,방문하다,-,Mi piace visitare quando ho tempo libero.,나는 자유 시간이 있을 때 방문하다는 것을 좋아합니다.
desiderare,원하다/갈망하다,-,Mi piace desiderare quando ho tempo libero.,나는 자유 시간이 있을 때 원하다/갈망하다는 것을 좋아합니다.
divertente,즐거운,-,L'italiano è divertente.,이탈리아어는 즐거운입니다.
affascinante,매력적인,-,L'italiano è affascinante.,이탈리아어는 매력적인입니다.
fantastico,환상적인,m,Il fantastico è molto importante per noi.,그 fantastico(은/는) 우리에게 매우 중요합니다.
assolutamente,절대적으로,-,L'italiano è assolutamente.,이탈리아어는 절대적으로입니다.
indimenticabile,잊을 수 없는,-,L'italiano è indimenticabile.,이탈리아어는 잊을 수 없는입니다.
fare,하다/만들다,-,Mi piace fare quando ho tempo libero.,나는 자유 시간이 있을 때 하다/만들다는 것을 좋아합니다.
giovane,젊은,-,L'italiano è giovane.,이탈리아어는 젊은입니다.
fotografo,사진작가,m,Il fotografo è molto importante per noi.,그 fotografo(은/는) 우리에게 매우 중요합니다.
sogno,꿈,m,Il sogno è molto importante per noi.,그 sogno(은/는) 우리에게 매우 중요합니다.
preoccupazione,걱정,f,La preoccupazione è bellissima in questo periodo.,그 preoccupazione(은/는) 이 시기에 매우 아름답습니다.
esperto,전문가/경험 많은,m,Il esperto è molto importante per noi.,그 esperto(은/는) 우리에게 매우 중요합니다.
incoraggiare,격려하다,-,Mi piace incoraggiare quando ho tempo libero.,나는 자유 시간이 있을 때 격려하다는 것을 좋아합니다.
passione,열정,f,La passione è bellissima in questo periodo.,그 passione(은/는) 이 시기에 매우 아름답습니다.
creatività,창의성,-,L'italiano è creatività.,이탈리아어는 창의성입니다.
condividere,공유하다,-,Mi piace condividere quando ho tempo libero.,나는 자유 시간이 있을 때 공유하다는 것을 좋아합니다.
consiglio,조언,m,Il consiglio è molto importante per noi.,그 consiglio(은/는) 우리에게 매우 중요합니다.
opportunità,기회,-,L'italiano è opportunità.,이탈리아어는 기회입니다.
migliorare,개선하다/향상하다,-,Mi piace migliorare quando ho tempo libero.,나는 자유 시간이 있을 때 개선하다/향상하다는 것을 좋아합니다.
competenze,역량/기술,-,L'italiano è competenze.,이탈리아어는 역량/기술입니다.
formazione,교육/훈련,f,La formazione è bellissima in questo periodo.,그 formazione(은/는) 이 시기에 매우 아름답습니다.
apprendere,배우다/습득하다,-,Mi piace apprendere quando ho tempo libero.,나는 자유 시간이 있을 때 배우다/습득하다는 것을 좋아합니다.
sostegno,지원/지지,m,Il sostegno è molto importante per noi.,그 sostegno(은/는) 우리에게 매우 중요합니다.
successo,성공,m,Il successo è molto importante per noi.,그 successo(은/는) 우리에게 매우 중요합니다.
impegno,헌신/노력,m,Il impegno è molto importante per noi.,그 impegno(은/는) 우리에게 매우 중요합니다.
perseverare,인내하다/지속하다,-,Mi piace perseverare quando ho tempo libero.,나는 자유 시간이 있을 때 인내하다/지속하다는 것을 좋아합니다.
supporto,지원,m,Il supporto è molto importante per noi.,그 supporto(은/는) 우리에게 매우 중요합니다.
ristorante,레스토랑,m,Il ristorante è molto importante per noi.,그 ristorante(은/는) 우리에게 매우 중요합니다.
piatti,요리/접시,-,L'italiano è piatti.,이탈리아어는 요리/접시입니다.
menu,메뉴,-,L'italiano è menu.,이탈리아어는 메뉴입니다.
chef,주방장,-,L'italiano è chef.,이탈리아어는 주방장입니다.
gusto,맛,m,Il gusto è molto importante per noi.,그 gusto(은/는) 우리에게 매우 중요합니다.
ingredienti,재료,-,L'italiano è ingredienti.,이탈리아어는 재료입니다.
ricetta,레시피,f,La ricetta è bellissima in questo periodo.,그 ricetta(은/는) 이 시기에 매우 아름답습니다.
cucina,요리/주방,f,La cucina è bellissima in questo periodo.,그 cucina(은/는) 이 시기에 매우 아름답습니다.
antipasto,전채 요리,m,Il antipasto è molto importante per noi.,그 antipasto(은/는) 우리에게 매우 중요합니다.
primo,첫 번째 요리,m,Il primo è molto importante per noi.,그 primo(은/는) 우리에게 매우 중요합니다.
ordinare,주문하다,-,Mi piace ordinare quando ho tempo libero.,나는 자유 시간이 있을 때 주문하다는 것을 좋아합니다.
assaggiare,맛보다,-,Mi piace assaggiare quando ho tempo libero.,나는 자유 시간이 있을 때 맛보다는 것을 좋아합니다.
gustare,음미하다,-,Mi piace gustare quando ho tempo libero.,나는 자유 시간이 있을 때 음미하다는 것을 좋아합니다.
prendere,주문하다/먹다,-,Mi piace prendere quando ho tempo libero.,나는 자유 시간이 있을 때 주문하다/먹다는 것을 좋아합니다.
frutta,과일,f,La frutta è bellissima in questo periodo.,그 frutta(은/는) 이 시기에 매우 아름답습니다.
insalata,샐러드,f,La insalata è bellissima in questo periodo.,그 insalata(은/는) 이 시기에 매우 아름답습니다.
secondo piatto,두 번째 요리,m,Il secondo piatto è molto importante per noi.,그 secondo piatto(은/는) 우리에게 매우 중요합니다.
piatti tipici,전통 요리,-,L'italiano è piatti tipici.,이탈리아어는 전통 요리입니다.
posate,식기류,-,L'italiano è posate.,이탈리아어는 식기류입니다.
piatto del giorno,오늘의 요리,m,Il piatto del giorno è molto importante per noi.,그 piatto del giorno(은/는) 우리에게 매우 중요합니다.
bevanda,음료,f,La bevanda è bellissima in questo periodo.,그 bevanda(은/는) 이 시기에 매우 아름답습니다.
spesa,장보기,f,La spesa è bellissima in questo periodo.,그 spesa(은/는) 이 시기에 매우 아름답습니다.
pasticceria,제과점,f,La pasticceria è bellissima in questo periodo.,그 pasticceria(은/는) 이 시기에 매우 아름답습니다.
sapore,풍미,m,Il sapore è molto importante per noi.,그 sapore(은/는) 우리에게 매우 중요합니다.
contorno,사이드 요리,m,Il contorno è molto importante per noi.,그 contorno(은/는) 우리에게 매우 중요합니다.
spezie,향신료,-,L'italiano è spezie.,이탈리아어는 향신료입니다.
dolce,디저트,-,L'italiano è dolce.,이탈리아어는 디저트입니다.
prenotare,예약하다,-,Ho prenotato un tavolo per due.,두 사람용 테이블을 예약했습니다.
incidente stradale,교통사고,-,L'italiano è incidente stradale.,이탈리아어는 교통사고입니다.
nonostante,~에도 불구하고,-,L'italiano è nonostante.,이탈리아어는 ~에도 불구하고입니다.
alcuno,어떤/몇몇의,m,Il alcuno è molto importante per noi.,그 alcuno(은/는) 우리에게 매우 중요합니다.
documento,서류/문서,m,Il documento è molto importante per noi.,그 documento(은/는) 우리에게 매우 중요합니다.
entro,~이내에,m,Il entro è molto importante per noi.,그 entro(은/는) 우리에게 매우 중요합니다.
in tempo,시간 맞춰,m,Il in tempo è molto importante per noi.,그 in tempo(은/는) 우리에게 매우 중요합니다.
prima che,~하기 전에,-,L'italiano è prima che.,이탈리아어는 ~하기 전에입니다.
apprezzare,감사하다/인정하다,-,Mi piace apprezzare quando ho tempo libero.,나는 자유 시간이 있을 때 감사하다/인정하다는 것을 좋아합니다.
benché,비록 ~일지라도,-,L'italiano è benché.,이탈리아어는 비록 ~일지라도입니다.
